municipality_code,municipality_name,issue_year,numerator_period_start,numerator_period_end,reported_lyme_cases,population_total_on_1_january,incidence_per_100000,denominator_status
025,Dravograd,2018,2018-01-01,2018-12-31,57,8799,647.8008864644,valid
025,Dravograd,2019,2019-01-07,2019-12-30,20,8783,227.7126266651,valid
025,Dravograd,2020,2020-01-06,2020-12-28,66,8884,742.9085997299,valid
025,Dravograd,2021,2021-01-04,2021-12-27,13,8844,146.9923111714,valid
025,Dravograd,2022,2022-01-03,2022-12-26,31,8882,349.0204908804,valid
025,Dravograd,2023,2023-01-02,2023-12-25,27,8862,304.6716316858,valid
025,Dravograd,2024,2024-01-01,2024-12-30,22,8815,249.5745887691,valid
026,Duplek,2016,2016-01-04,2016-12-26,6,6726,89.2060660125,valid
026,Duplek,2017,2017-01-02,2017-12-25,12,6803,176.3927678965,valid
026,Duplek,2018,2018-01-01,2018-12-31,9,6890,130.6240928882,valid
026,Duplek,2019,2019-01-07,2019-12-30,8,6937,115.3236269281,valid
026,Duplek,2020,2020-01-06,2020-12-28,9,6996,128.6449399657,valid
026,Duplek,2021,2021-01-04,2021-12-27,8,6959,114.9590458399,valid
026,Duplek,2022,2022-01-03,2022-12-26,4,7015,57.0206699929,valid
026,Duplek,2023,2023-01-02,2023-12-25,4,7046,56.7697984672,valid
026,Duplek,2024,2024-01-01,2024-12-30,7,6999,100.0142877554,valid
027,Gorenja vas-Poljane,2016,2016-01-04,2016-12-26,28,7429,376.9013326154,valid
027,Gorenja vas-Poljane,2017,2017-01-02,2017-12-25,29,7500,386.6666666667,valid
027,Gorenja vas-Poljane,2018,2018-01-01,2018-12-31,48,7541,636.5203553905,valid
027,Gorenja vas-Poljane,2019,2019-01-07,2019-12-30,30,7539,397.9307600478,valid
027,Gorenja vas-Poljane,2020,2020-01-06,2020-12-28,42,7557,555.7761016276,valid
027,Gorenja vas-Poljane,2021,2021-01-04,2021-12-27,17,7665,221.787345075,valid
027,Gorenja vas-Poljane,2022,2022-01-03,2022-12-26,40,7672,521.3764337852,valid
027,Gorenja vas-Poljane,2023,2023-01-02,2023-12-25,10,7646,130.7873397855,valid
027,Gorenja vas-Poljane,2024,2024-01-01,2024-12-30,13,7656,169.8014629049,valid
028,Gorišnica,2016,2016-01-04,2016-12-26,2,3978,50.2765208648,valid
028,Gorišnica,2017,2017-01-02,2017-12-25,4,3968,100.8064516129,valid
028,Gorišnica,2018,2018-01-01,2018-12-31,7,4025,173.9130434783,valid
028,Gorišnica,2019,2019-01-07,2019-12-30,2,4069,49.1521258294,valid
028,Gorišnica,2020,2020-01-06,2020-12-28,5,4112,121.5953307393,valid
028,Gorišnica,2021,2021-01-04,2021-12-27,2,4161,48.0653689017,valid
028,Gorišnica,2022,2022-01-03,2022-12-26,2,4180,47.8468899522,valid
028,Gorišnica,2023,2023-01-02,2023-12-25,2,4182,47.8240076518,valid
028,Gorišnica,2024,2024-01-01,2024-12-30,2,4188,47.7554918816,valid
029,Gornja Radgona,2016,2016-01-04,2016-12-26,38,8467,448.8012282981,valid
029,Gornja Radgona,2017,2017-01-02,2017-12-25,40,8447,473.5409020954,valid
029,Gornja Radgona,2018,2018-01-01,2018-12-31,47,8403,559.3240509342,valid
029,Gornja Radgona,2019,2019-01-07,2019-12-30,31,8392,369.3994280267,valid
029,Gornja Radgona,2020,2020-01-06,2020-12-28,39,8417,463.3479862184,valid
029,Gornja Radgona,2021,2021-01-04,2021-12-27,27,8474,318.6216662733,valid
029,Gornja Radgona,2022,2022-01-03,2022-12-26,16,8476,188.7682869278,valid
029,Gornja Radgona,2023,2023-01-02,2023-12-25,8,8489,94.2396041937,valid
029,Gornja Radgona,2024,2024-01-01,2024-12-30,12,8503,141.1266611784,valid
030,Gornji Grad,2016,2016-01-04,2016-12-26,2,2547,78.5237534354,valid
030,Gornji Grad,2017,2017-01-02,2017-12-25,11,2547,431.8806438948,valid
030,Gornji Grad,2018,2018-01-01,2018-12-31,20,2543,786.4726700747,valid
030,Gornji Grad,2019,2019-01-07,2019-12-30,7,2511,278.773397053,valid
030,Gornji Grad,2020,2020-01-06,2020-12-28,14,2476,565.4281098546,valid
030,Gornji Grad,2021,2021-01-04,2021-12-27,0,2480,0,valid
030,Gornji Grad,2022,2022-01-03,2022-12-26,1,2552,39.1849529781,valid
030,Gornji Grad,2023,2023-01-02,2023-12-25,1,2559,39.0777647519,valid
030,Gornji Grad,2024,2024-01-01,2024-12-30,1,2595,38.5356454721,valid
031,Gornji Petrovci,2016,2016-01-04,2016-12-26,6,2057,291.686922703,valid
031,Gornji Petrovci,2017,2017-01-02,2017-12-25,7,2058,340.1360544218,valid
031,Gornji Petrovci,2018,2018-01-01,2018-12-31,16,2013,794.8335817188,valid
031,Gornji Petrovci,2019,2019-01-07,2019-12-30,11,1985,554.1561712846,valid
031,Gornji Petrovci,2020,2020-01-06,2020-12-28,8,1995,401.0025062657,valid
031,Gornji Petrovci,2021,2021-01-04,2021-12-27,1,2040,49.0196078431,valid
031,Gornji Petrovci,2022,2022-01-03,2022-12-26,2,2010,99.5024875622,valid
031,Gornji Petrovci,2023,2023-01-02,2023-12-25,0,1982,0,valid
031,Gornji Petrovci,2024,2024-01-01,2024-12-30,2,2002,99.9000999001,valid
032,Grosuplje,2016,2016-01-04,2016-12-26,29,20059,144.573508151,valid
032,Grosuplje,2017,2017-01-02,2017-12-25,31,20284,152.8298166042,valid
032,Grosuplje,2018,2018-01-01,2018-12-31,75,20672,362.8095975232,valid
032,Grosuplje,2019,2019-01-07,2019-12-30,20,21013,95.1791747966,valid
032,Grosuplje,2020,2020-01-06,2020-12-28,30,21314,140.7525570048,valid
032,Grosuplje,2021,2021-01-04,2021-12-27,16,21398,74.7733433031,valid
032,Grosuplje,2022,2022-01-03,2022-12-26,18,21333,84.37631838,valid
032,Grosuplje,2023,2023-01-02,2023-12-25,19,21587,88.0159355167,valid
032,Grosuplje,2024,2024-01-01,2024-12-30,22,21870,100.5944215821,valid
033,Šalovci,2016,2016-01-04,2016-12-26,4,1437,278.3576896312,valid
033,Šalovci,2017,2017-01-02,2017-12-25,8,1430,559.4405594406,valid
033,Šalovci,2018,2018-01-01,2018-12-31,12,1411,850.4606661942,valid
033,Šalovci,2019,2019-01-07,2019-12-30,4,1392,287.3563218391,valid
033,Šalovci,2020,2020-01-06,2020-12-28,2,1380,144.9275362319,valid
033,Šalovci,2021,2021-01-04,2021-12-27,1,1388,72.0461095101,valid
033,Šalovci,2022,2022-01-03,2022-12-26,0,1372,0,valid
033,Šalovci,2023,2023-01-02,2023-12-25,1,1369,73.046018992,valid
033,Šalovci,2024,2024-01-01,2024-12-30,3,1334,224.8875562219,valid
034,Hrastnik,2016,2016-01-04,2016-12-26,8,9316,85.8737655646,valid
034,Hrastnik,2017,2017-01-02,2017-12-25,15,9269,161.8297550976,valid
034,Hrastnik,2018,2018-01-01,2018-12-31,17,9188,185.0239442751,valid
034,Hrastnik,2019,2019-01-07,2019-12-30,7,9154,76.4693030369,valid
034,Hrastnik,2020,2020-01-06,2020-12-28,11,9113,120.7066827609,valid
