municipality_code,municipality_name,year,population_total_on_1_january,denominator_status
039,Ivančna Gorica,2021,17538,valid
039,Ivančna Gorica,2022,17599,valid
039,Ivančna Gorica,2023,17738,valid
039,Ivančna Gorica,2024,18114,valid
040,Izola,2016,15962,valid
040,Izola,2017,16015,valid
040,Izola,2018,16015,valid
040,Izola,2019,16322,valid
040,Izola,2020,16486,valid
040,Izola,2021,16737,valid
040,Izola,2022,16647,valid
040,Izola,2023,16564,valid
040,Izola,2024,16479,valid
041,Jesenice,2016,20858,valid
041,Jesenice,2017,20754,valid
041,Jesenice,2018,20759,valid
041,Jesenice,2019,20991,valid
041,Jesenice,2020,21340,valid
041,Jesenice,2021,21679,valid
041,Jesenice,2022,21758,valid
041,Jesenice,2023,21883,valid
041,Jesenice,2024,21944,valid
042,Juršinci,2016,2356,valid
042,Juršinci,2017,2375,valid
042,Juršinci,2018,2375,valid
042,Juršinci,2019,2362,valid
042,Juršinci,2020,2380,valid
042,Juršinci,2021,2421,valid
042,Juršinci,2022,2501,valid
042,Juršinci,2023,2481,valid
042,Juršinci,2024,2458,valid
043,Kamnik,2016,29362,valid
043,Kamnik,2017,29416,valid
043,Kamnik,2018,29487,valid
043,Kamnik,2019,29686,valid
043,Kamnik,2020,29925,valid
043,Kamnik,2021,29989,valid
043,Kamnik,2022,29793,valid
043,Kamnik,2023,29979,valid
043,Kamnik,2024,30020,valid
044,Kanal,2016,5431,valid
044,Kanal,2017,5342,valid
044,Kanal,2018,5311,valid
044,Kanal,2019,5301,valid
044,Kanal,2020,5291,valid
044,Kanal,2021,5289,valid
044,Kanal,2022,5245,valid
044,Kanal,2023,5213,valid
044,Kanal,2024,5106,valid
045,Kidričevo,2016,6449,valid
045,Kidričevo,2017,6417,valid
045,Kidričevo,2018,6450,valid
045,Kidričevo,2019,6495,valid
045,Kidričevo,2020,6541,valid
045,Kidričevo,2021,6539,valid
045,Kidričevo,2022,6547,valid
045,Kidričevo,2023,6586,valid
045,Kidričevo,2024,6594,valid
046,Kobarid,2016,4121,valid
046,Kobarid,2017,4105,valid
046,Kobarid,2018,4104,valid
046,Kobarid,2019,4079,valid
046,Kobarid,2020,4052,valid
046,Kobarid,2021,4032,valid
046,Kobarid,2022,4044,valid
046,Kobarid,2023,4046,valid
046,Kobarid,2024,4045,valid
047,Kobilje,2016,574,valid
047,Kobilje,2017,560,valid
047,Kobilje,2018,559,valid
047,Kobilje,2019,542,valid
047,Kobilje,2020,542,valid
047,Kobilje,2021,540,valid
047,Kobilje,2022,532,valid
047,Kobilje,2023,512,valid
047,Kobilje,2024,511,valid
048,Kočevje,2016,16005,valid
048,Kočevje,2017,15881,valid
048,Kočevje,2018,15771,valid
048,Kočevje,2019,15686,valid
048,Kočevje,2020,15674,valid
048,Kočevje,2021,15644,valid
048,Kočevje,2022,15623,valid
048,Kočevje,2023,15674,valid
048,Kočevje,2024,15661,valid
049,Komen,2016,3518,valid
049,Komen,2017,3523,valid
049,Komen,2018,3537,valid
049,Komen,2019,3534,valid
049,Komen,2020,3529,valid
049,Komen,2021,3655,valid
049,Komen,2022,3634,valid
049,Komen,2023,3578,valid
049,Komen,2024,3509,valid
050,Koper,2016,51045,valid
050,Koper,2017,51361,valid
050,Koper,2018,51794,valid
050,Koper,2019,52234,valid
050,Koper,2020,52630,valid
050,Koper,2021,53292,valid
050,Koper,2022,53462,valid
050,Koper,2023,53875,valid
050,Koper,2024,54252,valid
051,Kozje,2016,3092,valid
051,Kozje,2017,3077,valid
051,Kozje,2018,3054,valid
051,Kozje,2019,3037,valid
051,Kozje,2020,2989,valid
051,Kozje,2021,3030,valid
051,Kozje,2022,3029,valid
051,Kozje,2023,3010,valid
051,Kozje,2024,2993,valid
052,Kranj,2016,56115,valid
052,Kranj,2017,56081,valid
052,Kranj,2018,55950,valid
052,Kranj,2019,56267,valid
052,Kranj,2020,57065,valid
052,Kranj,2021,57185,valid
052,Kranj,2022,56639,valid
052,Kranj,2023,57171,valid
052,Kranj,2024,57138,valid
053,Kranjska Gora,2016,5294,valid
053,Kranjska Gora,2017,5286,valid
053,Kranjska Gora,2018,5212,valid
053,Kranjska Gora,2019,5201,valid
053,Kranjska Gora,2020,5225,valid
053,Kranjska Gora,2021,7522,valid
053,Kranjska Gora,2022,7689,valid
053,Kranjska Gora,2023,5878,valid
053,Kranjska Gora,2024,5247,valid
054,Krško,2016,25884,valid
054,Krško,2017,25853,valid
054,Krško,2018,25833,valid
054,Krško,2019,25996,valid
054,Krško,2020,26224,valid
054,Krško,2021,25904,valid
054,Krško,2022,25833,valid
054,Krško,2023,25982,valid
054,Krško,2024,26019,valid
055,Kungota,2016,4761,valid
055,Kungota,2017,4788,valid
055,Kungota,2018,4762,valid
055,Kungota,2019,4705,valid
055,Kungota,2020,4724,valid
055,Kungota,2021,4844,valid
055,Kungota,2022,4916,valid
055,Kungota,2023,4950,valid
055,Kungota,2024,5032,valid
056,Kuzma,2016,1582,valid
056,Kuzma,2017,1577,valid
056,Kuzma,2018,1555,valid
056,Kuzma,2019,1573,valid
056,Kuzma,2020,1573,valid
056,Kuzma,2021,1624,valid
056,Kuzma,2022,1654,valid
056,Kuzma,2023,1636,valid
056,Kuzma,2024,1625,valid
057,Laško,2016,13156,valid
057,Laško,2017,13145,valid
057,Laško,2018,13081,valid
057,Laško,2019,13006,valid
057,Laško,2020,13067,valid
057,Laško,2021,13123,valid
057,Laško,2022,12976,valid
057,Laško,2023,13013,valid
057,Laško,2024,13002,valid
058,Lenart,2016,8275,valid
058,Lenart,2017,8251,valid
058,Lenart,2018,8287,valid
058,Lenart,2019,8432,valid
058,Lenart,2020,8502,valid
058,Lenart,2021,8512,valid
058,Lenart,2022,8561,valid
058,Lenart,2023,8648,valid
058,Lenart,2024,8591,valid
059,Lendava,2016,10538,valid
059,Lendava,2017,10506,valid
059,Lendava,2018,10406,valid
059,Lendava,2019,10411,valid
059,Lendava,2020,10426,valid
059,Lendava,2021,10486,valid
059,Lendava,2022,10312,valid
059,Lendava,2023,10211,valid
059,Lendava,2024,10180,valid
060,Litija,2016,15099,valid
060,Litija,2017,15215,valid
060,Litija,2018,15317,valid
060,Litija,2019,15356,valid
060,Litija,2020,15499,valid
060,Litija,2021,15743,valid
060,Litija,2022,15720,valid
060,Litija,2023,15753,valid
060,Litija,2024,15834,valid
061,Ljubljana,2016,288307,valid
061,Ljubljana,2017,288919,valid
061,Ljubljana,2018,289518,valid
