municipality_code,grid_cell_index,latitude,longitude,intersection_area_m2,normalized_intersection_weight
039,322,46,14.9,22869137.2904209,0.100741682615791
039,354,45.9,14.7,5157425.1977822,0.022719164513796
039,355,45.9,14.8,82072063.4669627,0.361538682653983
039,356,45.9,14.9,22827096.418099,0.100556486814019
039,389,45.8,14.8,34368027.3142186,0.151395868407773
039,390,45.8,14.9,2579726.83251297,0.0113640500949426
040,479,45.5,13.6,9194574.39881396,0.322212404551134
040,480,45.5,13.7,19341181.1119731,0.677787595448866
041,143,46.5,14,13159312.0148875,0.173365157957009
041,144,46.5,14.1,23171058.8188252,0.305263243824007
041,177,46.4,14,9964998.25339722,0.131282204896964
041,178,46.4,14.1,29511144.5387643,0.388789644068544
041,179,46.4,14.2,98657.689752388,0.00129974925347514
042,162,46.5,15.9,5324639.16617458,0.147059589486442
042,163,46.5,16,29968664.0616683,0.827695416876918
042,197,46.4,16,914054.515838793,0.02524499363664
043,182,46.4,14.5,1024005.81890134,0.00385515624190756
043,183,46.4,14.6,8218744.04640113,0.0309417601211666
043,216,46.3,14.5,3249320.93101275,0.0122329772330734
043,217,46.3,14.6,79440027.0299542,0.299074195096289
043,218,46.3,14.7,24271214.5376959,0.0913757739424441
043,219,46.3,14.8,2078994.82256573,0.00782695734649924
043,220,46.3,14.9,14911.6745942664,5.61391686729462e-05
043,251,46.2,14.6,42365820.052078,0.159497976088198
043,252,46.2,14.7,41920328.9659577,0.157820800324477
043,253,46.2,14.8,45189112.0509597,0.170127048278329
043,254,46.2,14.9,17847317.2054295,0.0671912161589437
044,242,46.2,13.7,4244865.13720761,0.0289807681956812
044,274,46.1,13.5,2274455.17915622,0.0155282809201222
044,275,46.1,13.6,50552868.3374321,0.345137221456621
044,276,46.1,13.7,60395558.4973907,0.412335757270485
044,277,46.1,13.8,6341232.60086465,0.0432931992278668
044,309,46,13.6,22428297.1934187,0.153123659050779
044,310,46,13.7,234518.023725986,0.00160111387844538
045,194,46.4,15.7,35010292.8921625,0.490278925021166
045,195,46.4,15.8,36398635.9959211,0.509721074978834
046,205,46.3,13.4,19709784.6753015,0.102411792670218
046,206,46.3,13.5,25264673.8166341,0.131274926612065
046,207,46.3,13.6,38390642.147222,0.199477292564469
046,208,46.3,13.7,19757132.5820323,0.102657811796625
046,239,46.2,13.4,12183845.0232484,0.0633071051258396
046,240,46.2,13.5,26178919.3420621,0.136025334835303
046,241,46.2,13.6,43612445.0382144,0.226609714549129
046,242,46.2,13.7,7358759.55085073,0.0382360218463513
047,99,46.7,16.4,19734048.8088275,1
048,389,45.8,14.8,1622453.72493456,0.00292012253644211
048,390,45.8,14.9,9683343.46074451,0.0174282625342487
048,391,45.8,15,4483807.88367533,0.00807004122766287
048,423,45.7,14.8,43884668.1546674,0.0789844459125613
048,424,45.7,14.9,85373405.6667205,0.153656651076603
048,425,45.7,15,31113336.1002665,0.0559983637955222
048,456,45.6,14.7,22185090.0077299,0.0399291396167132
048,457,45.6,14.8,83806481.6334698,0.150836471917057
048,458,45.6,14.9,86696457.4467315,0.156037904396999
048,459,45.6,15,80212462.9697518,0.144367889956891
048,460,45.6,15.1,11675395.4954045,0.0210135950160183
048,491,45.5,14.8,22242666.8228809,0.0400327674446845
048,492,45.5,14.9,16624169.9227484,0.0299204917188123
048,493,45.5,15,44569064.2776058,0.0802162348454176
048,494,45.5,15.1,11438717.7599105,0.020587618004367
049,344,45.9,13.7,2666185.80744809,0.0259766316345758
049,345,45.9,13.8,195767.455021172,0.00190736108898231
049,377,45.8,13.6,8375632.81120832,0.0816037380573526
049,378,45.8,13.7,40471892.9268804,0.394317399477056
049,379,45.8,13.8,41444371.1419441,0.403792248639777
049,380,45.8,13.9,9484007.0267587,0.0924026211022563
050,446,45.6,13.7,3257710.94530886,0.0107374094490681
050,447,45.6,13.8,27197992.8479744,0.0896445357811936
050,448,45.6,13.9,19110376.4872426,0.0629877667215537
050,449,45.6,14,345749.638500944,0.00113959019009893
050,480,45.5,13.7,45807276.0607164,0.150980699966238
050,481,45.5,13.8,80180164.8893399,0.26427368006679
050,482,45.5,13.9,85337204.5869521,0.281271273686353
050,483,45.5,14,26666882.9244285,0.0878939984231178
050,514,45.4,13.7,762266.990848009,0.00251243063846111
050,515,45.4,13.8,5493916.29650604,0.0181079382869864
050,516,45.4,13.9,9174939.16972126,0.0302405830933075
050,517,45.4,14,63742.0542596557,0.000210093696832193
