municipality_code,week_start,week_end,weather_status,source_hour_count,minimum_present_hours,t2m_mean_c,d2m_mean_c,tp_sum_mm,stl1_mean_c,stl2_mean_c,swvl1_mean_m3_m3,swvl2_mean_m3_m3
127,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
128,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
129,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
130,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
131,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
132,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
133,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
134,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
135,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
136,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
137,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
138,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
139,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
140,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
141,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
142,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
143,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
144,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
146,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
147,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
148,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
149,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
150,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
151,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
152,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
153,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
154,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
155,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
156,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
157,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
158,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
159,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
160,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
161,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
162,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
163,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
164,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
165,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
166,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
167,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
168,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
169,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
170,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
171,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
172,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
173,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
174,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
175,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
176,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
177,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
178,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
179,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
180,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
181,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
182,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
183,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
184,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
185,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
186,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
187,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
188,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
189,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
190,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
191,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
192,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
193,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
194,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
195,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
196,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
197,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
198,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
199,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
200,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
201,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
202,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
203,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
204,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
205,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
206,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
207,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
208,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
209,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
210,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
211,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
212,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
213,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
001,2016-04-04,2016-04-10,complete,168,168,11.1979190840693,7.45063347368986,15.9151761664475,10.4100305777719,9.85778299209117,0.337824238689455,0.335749228814575
002,2016-04-04,2016-04-10,complete,168,168,14.0944633324005,6.91396873001175,11.5965120820587,13.6260053329091,12.8153679908494,0.294391022535094,0.308340160642112
003,2016-04-04,2016-04-10,complete,168,168,9.43276470714571,5.73079596062854,20.5060394495894,9.00239597775655,8.19142159487905,0.366546305012676,0.364318253373053
004,2016-04-04,2016-04-10,complete,168,168,8.43050637881486,4.99544120056026,21.5101685941161,7.53110638088115,6.68389100496407,0.380626140183945,0.377953433687022
