scenario_family,year,air_temperature_c_mean_climate,near_surface_specific_humidity_g_kg_climate,precipitation_sum_mm_proxy_climate,soil_moisture_upper_portion_kg_m2_climate,air_temperature_c_mean_climate_anomaly_vs_2016_2025,near_surface_specific_humidity_g_kg_climate_anomaly_vs_2016_2025,precipitation_sum_mm_proxy_climate_anomaly_vs_2016_2025,soil_moisture_upper_portion_kg_m2_climate_anomaly_vs_2016_2025,lyme_cases,kme_cases,tick_borne_cases_total,lyme_cases_per_100k,kme_cases_per_100k,tick_borne_cases_total_per_100k,lyme_cases_lag_1y,lyme_cases_lag_2y,lyme_cases_lag_3y,lyme_cases_rolling_3y_mean,kme_cases_lag_1y,kme_cases_lag_2y,kme_cases_lag_3y,kme_cases_rolling_3y_mean,tick_borne_cases_total_lag_1y,tick_borne_cases_total_lag_2y,tick_borne_cases_total_lag_3y,tick_borne_cases_total_rolling_3y_mean,lyme_cases_per_100k_lag_1y,lyme_cases_per_100k_lag_2y,lyme_cases_per_100k_lag_3y,lyme_cases_per_100k_rolling_3y_mean,kme_cases_per_100k_lag_1y,kme_cases_per_100k_lag_2y,kme_cases_per_100k_lag_3y,kme_cases_per_100k_rolling_3y_mean,tick_borne_cases_total_per_100k_lag_1y,tick_borne_cases_total_per_100k_lag_2y,tick_borne_cases_total_per_100k_lag_3y,tick_borne_cases_total_per_100k_rolling_3y_mean,table_role,target_available,projection_horizon_years_from_2025
high_emissions,2041,11.20635849237442,6.55770359436671,1210.7084391117096,26.92371193567912,0.9718038996060692,0.2839689830938976,32.74729927778253,-0.8515649000803585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,16
high_emissions,2042,11.048498250544071,6.547436575094859,1159.3528187274933,27.08784818649292,0.8139436577757202,0.273701963822047,-18.608321106433777,-0.6874286492665576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,17
high_emissions,2043,11.194140096505484,6.648791551589966,1213.6472148895264,27.594151337941486,0.9595855037371326,0.3750569403171537,35.686075055599304,-0.181125497817991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,18
high_emissions,2044,11.031505912542343,6.514131267865499,1205.5257074832916,27.420008818308517,0.7969513197739921,0.2403966565926865,27.56456764936456,-0.3552680174509639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,19
high_emissions,2045,10.62028036514918,6.536552985509236,1275.0939798355105,27.146900018056236,0.3857257723808285,0.2628183742364243,97.1328400015832,-0.6283768177032449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,20
high_emissions,2046,10.973273113369942,6.592138489087422,1176.5274958610537,26.83306662241618,0.7387185206015907,0.3184038778146103,-1.4336439728735968,-0.942210213343298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,21
high_emissions,2047,10.808487157026926,6.596153716246287,1277.3764142990112,26.979975700378414,0.5739325642585751,0.3224191049734752,99.41527446508417,-0.7953011353810595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,22
high_emissions,2048,10.812033355236052,6.629657884438832,1289.4573426246643,27.588374773661297,0.5774787624677025,0.3559232731660202,111.49620279073724,-0.1869020620981807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,23
high_emissions,2049,11.051800827185312,6.545343478520711,1172.187709569931,27.008468468983967,0.8172462344169613,0.2716088672478989,-5.773430263996033,-0.7668083667755106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,24
high_emissions,2050,11.3690718015035,6.714000602563222,1197.3258900642395,26.85646390914917,1.134517208735149,0.4402659912904099,19.36475023031244,-0.9188129266103076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,25
