fold_id,validation_iso_year,candidate_id,n_train,n_validation,n_parameters_or_features,converged,iterations,warning_count,warning_messages,train_target_end_max,validation_start,training_scaler_means,training_scaler_standard_deviations
tick_borne_2024,2024,glm_weather_only_offset,4704,528,5,true,6,0,,2023-12-25,2024-01-01,"{""stl1_mean_c_previous_4w_mean"": 10.97750006254047, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.3591240029709812, ""t2m_mean_c_previous_4w_mean"": 10.87147988875633, ""tp_sum_mm_previous_4w_sum"": 100.43279791818073}","{""stl1_mean_c_previous_4w_mean"": 7.124298215246344, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.033737827429294605, ""t2m_mean_c_previous_4w_mean"": 7.412922761868739, ""tp_sum_mm_previous_4w_sum"": 57.79668679507903}"
tick_borne_2024,2024,glm_seasonal_region_weather_offset,4704,528,18,true,6,0,,2023-12-25,2024-01-01,"{""stl1_mean_c_previous_4w_mean"": 10.97750006254047, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.3591240029709812, ""t2m_mean_c_previous_4w_mean"": 10.87147988875633, ""tp_sum_mm_previous_4w_sum"": 100.43279791818073}","{""stl1_mean_c_previous_4w_mean"": 7.124298215246344, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.033737827429294605, ""t2m_mean_c_previous_4w_mean"": 7.412922761868739, ""tp_sum_mm_previous_4w_sum"": 57.79668679507903}"
tick_borne_2024,2024,glm_combined_weather_offset,4704,528,19,true,6,0,,2023-12-25,2024-01-01,"{""past_8w_reported_lyme_plus_kme_incidence_per_100000"": 39.0210977008029, ""stl1_mean_c_previous_4w_mean"": 10.97750006254047, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.3591240029709812, ""t2m_mean_c_previous_4w_mean"": 10.87147988875633, ""tp_sum_mm_previous_4w_sum"": 100.43279791818073}","{""past_8w_reported_lyme_plus_kme_incidence_per_100000"": 43.78090625609382, ""stl1_mean_c_previous_4w_mean"": 7.124298215246344, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.033737827429294605, ""t2m_mean_c_previous_4w_mean"": 7.412922761868739, ""tp_sum_mm_previous_4w_sum"": 57.79668679507903}"
tick_borne_2024,2024,catboost_combined_weather_offset,4704,528,8,true,200,0,,2023-12-25,2024-01-01,not_applicable,not_applicable
tick_borne_2025,2025,glm_seasonal_region_offset,5328,528,14,true,6,0,,2024-12-23,2024-12-30,{},{}
tick_borne_2025,2025,glm_past_combined_offset,5328,528,15,true,6,0,,2024-12-23,2024-12-30,"{""past_8w_reported_lyme_plus_kme_incidence_per_100000"": 37.14001174437619}","{""past_8w_reported_lyme_plus_kme_incidence_per_100000"": 42.25771448149546}"
tick_borne_2025,2025,glm_weather_only_offset,5328,528,5,true,6,0,,2024-12-23,2024-12-30,"{""stl1_mean_c_previous_4w_mean"": 11.06026771998047, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.3596086448332433, ""t2m_mean_c_previous_4w_mean"": 10.964519739490429, ""tp_sum_mm_previous_4w_sum"": 103.1666916621078}","{""stl1_mean_c_previous_4w_mean"": 7.139053226578212, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.034634653805149566, ""t2m_mean_c_previous_4w_mean"": 7.393237723441802, ""tp_sum_mm_previous_4w_sum"": 60.784435441547245}"
tick_borne_2025,2025,glm_seasonal_region_weather_offset,5328,528,18,true,6,0,,2024-12-23,2024-12-30,"{""stl1_mean_c_previous_4w_mean"": 11.06026771998047, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.3596086448332433, ""t2m_mean_c_previous_4w_mean"": 10.964519739490429, ""tp_sum_mm_previous_4w_sum"": 103.1666916621078}","{""stl1_mean_c_previous_4w_mean"": 7.139053226578212, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.034634653805149566, ""t2m_mean_c_previous_4w_mean"": 7.393237723441802, ""tp_sum_mm_previous_4w_sum"": 60.784435441547245}"
tick_borne_2025,2025,glm_combined_weather_offset,5328,528,19,true,6,0,,2024-12-23,2024-12-30,"{""past_8w_reported_lyme_plus_kme_incidence_per_100000"": 37.14001174437619, ""stl1_mean_c_previous_4w_mean"": 11.06026771998047, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.3596086448332433, ""t2m_mean_c_previous_4w_mean"": 10.964519739490429, ""tp_sum_mm_previous_4w_sum"": 103.1666916621078}","{""past_8w_reported_lyme_plus_kme_incidence_per_100000"": 42.25771448149546, ""stl1_mean_c_previous_4w_mean"": 7.139053226578212, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.034634653805149566, ""t2m_mean_c_previous_4w_mean"": 7.393237723441802, ""tp_sum_mm_previous_4w_sum"": 60.784435441547245}"
tick_borne_2025,2025,catboost_combined_weather_offset,5328,528,8,true,200,0,,2024-12-23,2024-12-30,not_applicable,not_applicable
