scenario_family,year,target_column,target_label,predicted_prevalence_per_100k,lag_1_used,rolling_3_used,table_role,model_name
high_emissions,2091,lyme_cases_per_100k,Lyme prevalence per 100k,9964.27922501758,9181.789214955821,9511.927376886852,scenario_projection_recursive,lyme_prevalence
high_emissions,2092,lyme_cases_per_100k,Lyme prevalence per 100k,10078.828556575027,9964.27922501758,9677.764483401916,scenario_projection_recursive,lyme_prevalence
high_emissions,2093,lyme_cases_per_100k,Lyme prevalence per 100k,10133.196462477004,10078.828556575027,9741.63233218281,scenario_projection_recursive,lyme_prevalence
high_emissions,2094,lyme_cases_per_100k,Lyme prevalence per 100k,9931.901076341726,10133.196462477004,10058.768081356537,scenario_projection_recursive,lyme_prevalence
high_emissions,2095,lyme_cases_per_100k,Lyme prevalence per 100k,10095.338634544469,9931.901076341726,10047.975365131251,scenario_projection_recursive,lyme_prevalence
high_emissions,2096,lyme_cases_per_100k,Lyme prevalence per 100k,9798.033393261421,10095.338634544469,10053.4787244544,scenario_projection_recursive,lyme_prevalence
high_emissions,2097,lyme_cases_per_100k,Lyme prevalence per 100k,10218.743505386472,9798.033393261421,9941.757701382538,scenario_projection_recursive,lyme_prevalence
high_emissions,2098,lyme_cases_per_100k,Lyme prevalence per 100k,10166.128915197358,10218.743505386472,10037.371844397452,scenario_projection_recursive,lyme_prevalence
high_emissions,2099,lyme_cases_per_100k,Lyme prevalence per 100k,10229.044656914471,10166.128915197358,10060.968604615084,scenario_projection_recursive,lyme_prevalence
high_emissions,2100,lyme_cases_per_100k,Lyme prevalence per 100k,9829.116376142258,10229.044656914471,10204.639025832768,scenario_projection_recursive,lyme_prevalence
medium_emissions,2026,lyme_cases_per_100k,Lyme prevalence per 100k,6985.034168743854,7939.903481400254,5693.654599010776,scenario_projection_recursive,lyme_prevalence
medium_emissions,2027,lyme_cases_per_100k,Lyme prevalence per 100k,6962.659118536398,6985.034168743854,6669.2953803249,scenario_projection_recursive,lyme_prevalence
medium_emissions,2028,lyme_cases_per_100k,Lyme prevalence per 100k,6885.52601113644,6962.659118536398,7295.865589560169,scenario_projection_recursive,lyme_prevalence
medium_emissions,2029,lyme_cases_per_100k,Lyme prevalence per 100k,6555.235565439199,6885.52601113644,6944.406432805564,scenario_projection_recursive,lyme_prevalence
medium_emissions,2030,lyme_cases_per_100k,Lyme prevalence per 100k,6908.723278893076,6555.235565439199,6801.140231704012,scenario_projection_recursive,lyme_prevalence
medium_emissions,2031,lyme_cases_per_100k,Lyme prevalence per 100k,7337.558474076674,6908.723278893076,6783.161618489572,scenario_projection_recursive,lyme_prevalence
medium_emissions,2032,lyme_cases_per_100k,Lyme prevalence per 100k,7052.03356595947,7337.558474076674,6933.839106136315,scenario_projection_recursive,lyme_prevalence
medium_emissions,2033,lyme_cases_per_100k,Lyme prevalence per 100k,6805.401129395376,7052.03356595947,7099.438439643073,scenario_projection_recursive,lyme_prevalence
medium_emissions,2034,lyme_cases_per_100k,Lyme prevalence per 100k,7146.263555974397,6805.401129395376,7064.99772314384,scenario_projection_recursive,lyme_prevalence
medium_emissions,2035,lyme_cases_per_100k,Lyme prevalence per 100k,7149.215303978427,7146.263555974397,7001.2327504430805,scenario_projection_recursive,lyme_prevalence
medium_emissions,2036,lyme_cases_per_100k,Lyme prevalence per 100k,7029.197940068067,7149.215303978427,7033.626663116066,scenario_projection_recursive,lyme_prevalence
medium_emissions,2037,lyme_cases_per_100k,Lyme prevalence per 100k,7508.016198930774,7029.197940068067,7108.225600006964,scenario_projection_recursive,lyme_prevalence
medium_emissions,2038,lyme_cases_per_100k,Lyme prevalence per 100k,7071.639090961718,7508.016198930774,7228.809814325756,scenario_projection_recursive,lyme_prevalence
medium_emissions,2039,lyme_cases_per_100k,Lyme prevalence per 100k,7235.182517165391,7071.639090961718,7202.9510766535195,scenario_projection_recursive,lyme_prevalence
medium_emissions,2040,lyme_cases_per_100k,Lyme prevalence per 100k,6800.5251115545825,7235.182517165391,7271.612602352628,scenario_projection_recursive,lyme_prevalence
