fold_id,challenger_id,feature,feature_importance
fold_03_validate_2019,catboost_poisson_s3_weather_offset,z_swvl1_mean_m3_m3_lag_1w,0.0715972963646084
fold_03_validate_2019,catboost_poisson_s3_weather_offset,z_swvl1_mean_m3_m3_lag_2w,0.0757333950553813
fold_03_validate_2019,catboost_poisson_s3_weather_offset,z_swvl1_mean_m3_m3_previous_4w_mean,1.38527362517463
fold_03_validate_2019,catboost_poisson_s3_weather_offset,z_swvl2_mean_m3_m3_lag_1w,0.0708754753472216
fold_03_validate_2019,catboost_poisson_s3_weather_offset,z_swvl2_mean_m3_m3_lag_2w,0.122168050827674
fold_03_validate_2019,catboost_poisson_s3_weather_offset,z_swvl2_mean_m3_m3_previous_4w_mean,2.76876360270447
fold_04_validate_2020,catboost_poisson_s3_weather_offset,municipality_code,6.70284003259075
fold_04_validate_2020,catboost_poisson_s3_weather_offset,seasonal_sin_annual,9.01747927021569
fold_04_validate_2020,catboost_poisson_s3_weather_offset,seasonal_cos_annual,41.5136023888373
fold_04_validate_2020,catboost_poisson_s3_weather_offset,past_4w_lyme_incidence_per_100000,20.4526192863491
fold_04_validate_2020,catboost_poisson_s3_weather_offset,z_t2m_mean_c_lag_1w,1.47796202132172
fold_04_validate_2020,catboost_poisson_s3_weather_offset,z_t2m_mean_c_lag_2w,0.994481586095789
fold_04_validate_2020,catboost_poisson_s3_weather_offset,z_t2m_mean_c_previous_4w_mean,2.80183128834708
fold_04_validate_2020,catboost_poisson_s3_weather_offset,z_d2m_mean_c_lag_1w,0.789248602468944
fold_04_validate_2020,catboost_poisson_s3_weather_offset,z_d2m_mean_c_lag_2w,0.394182579664982
fold_04_validate_2020,catboost_poisson_s3_weather_offset,z_d2m_mean_c_previous_4w_mean,0.283003320473183
fold_04_validate_2020,catboost_poisson_s3_weather_offset,z_tp_sum_mm_lag_1w,0.00787990200385773
fold_04_validate_2020,catboost_poisson_s3_weather_offset,z_tp_sum_mm_lag_2w,0.0471790922764087
fold_04_validate_2020,catboost_poisson_s3_weather_offset,z_tp_sum_mm_previous_4w_sum,0.528955086517545
fold_04_validate_2020,catboost_poisson_s3_weather_offset,z_stl1_mean_c_lag_1w,3.94261379586219
fold_04_validate_2020,catboost_poisson_s3_weather_offset,z_stl1_mean_c_lag_2w,0.207872745794593
fold_04_validate_2020,catboost_poisson_s3_weather_offset,z_stl1_mean_c_previous_4w_mean,2.47859383374716
fold_04_validate_2020,catboost_poisson_s3_weather_offset,z_stl2_mean_c_lag_1w,0.913720459775659
fold_04_validate_2020,catboost_poisson_s3_weather_offset,z_stl2_mean_c_lag_2w,1.11373006075212
fold_04_validate_2020,catboost_poisson_s3_weather_offset,z_stl2_mean_c_previous_4w_mean,4.51914266320907
fold_04_validate_2020,catboost_poisson_s3_weather_offset,z_swvl1_mean_m3_m3_lag_1w,0.0409512011472695
fold_04_validate_2020,catboost_poisson_s3_weather_offset,z_swvl1_mean_m3_m3_lag_2w,0.0782222868734011
fold_04_validate_2020,catboost_poisson_s3_weather_offset,z_swvl1_mean_m3_m3_previous_4w_mean,0.894517109173109
