fold_id,model_id,feature,coefficient,standard_error
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[089],-1.06144202608815,0.172068352567271
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[090],-1.0333336580785,0.187935286217165
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[091],0.515194934719378,0.102690300647054
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[092],-1.84847916338353,0.360500177284431
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[093],-1.18549284795596,0.289891886569687
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[094],-0.212548918156654,0.086656344983273
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[095],-0.194545945405039,0.17046096870486
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[096],-1.11037089394936,0.134512476578298
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[097],0.204806016023718,0.147027151307112
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[098],-0.712196884407863,0.159638396572387
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[099],-0.828929540444624,0.190135953511813
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[100],0.163097452757063,0.158647806436196
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[101],-2.30345594168924,0.300002957295775
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[102],-0.0438720863361963,0.101178428926535
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[103],-0.533062408888367,0.120035893150533
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[104],-1.76806242427901,0.178870081752747
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[105],-0.837201523418425,0.26794970741939
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[106],-1.34223533076542,0.161206477605011
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[107],-0.925261831586646,0.240180579934649
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[108],-0.682183546932168,0.172322585588886
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[109],0.165480315111552,0.129051964372426
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[110],-0.838689794510542,0.121919746042429
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[111],-1.11421131929026,0.153540297608386
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[112],-1.08434984750446,0.128636969733108
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[113],-1.10014761482978,0.121021852074448
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[114],-0.984543570247483,0.133111730718159
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[115],-0.390850491813865,0.186833208915418
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[116],0.662761823110184,0.163254677047296
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[117],-0.556263637337104,0.128320137549133
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[118],-1.20908862424595,0.176762619093462
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[119],-1.42358544218954,0.201590298973831
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[120],-0.604069538784626,0.108785771645466
