municipality_code,week_start,week_end,weather_status,source_hour_count,minimum_present_hours,t2m_mean_c,d2m_mean_c,tp_sum_mm,stl1_mean_c,stl2_mean_c,swvl1_mean_m3_m3,swvl2_mean_m3_m3
105,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
106,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
107,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
108,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
109,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
110,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
111,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
112,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
113,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
114,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
115,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
116,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
117,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
118,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
119,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
120,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
121,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
122,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
123,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
124,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
125,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
126,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
127,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
128,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
129,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
130,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
131,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
132,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
133,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
134,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
135,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
136,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
137,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
