fold_id,validation_iso_year,feature,coefficient,standard_error
kme_frozen_2022,2022,region[03],1.4685392315768653,0.0756912588540615
kme_frozen_2022,2022,region[04],-0.09930524139881812,0.07905694151390485
kme_frozen_2022,2022,region[05],-0.5180546331395016,0.13509690488409157
kme_frozen_2022,2022,region[06],-1.3679430521533473,0.170782512529567
kme_frozen_2022,2022,region[07],0.23430809952343112,0.08262106956964654
kme_frozen_2022,2022,region[08],0.3544271914271416,0.06921341625502066
kme_frozen_2022,2022,region[09],1.0719576593155618,0.07052033948487382
kme_frozen_2022,2022,region[10],1.3939273411663473,0.08024583441252714
kme_frozen_2022,2022,region[11],0.07494741017094521,0.0891882585042698
kme_frozen_2022,2022,region[12],-1.6282472850170282,0.17078256254838337
kme_frozen_2023,2023,intercept,-1.1935714046573314,0.06378303664413648
kme_frozen_2023,2023,seasonal_sin_annual,0.6014719013895412,0.02023352178886655
kme_frozen_2023,2023,seasonal_cos_annual,-1.547623680060486,0.02538497130452768
kme_frozen_2023,2023,region[02],-0.06414726887817597,0.07229611130305902
kme_frozen_2023,2023,region[03],1.513998674113464,0.07172677945644569
kme_frozen_2023,2023,region[04],-0.05755897767793409,0.07482962643276654
kme_frozen_2023,2023,region[05],-0.4106433475414878,0.12362091919033202
kme_frozen_2023,2023,region[06],-1.4646459859754035,0.16966990922734929
kme_frozen_2023,2023,region[07],0.29291445817340434,0.07784989442527376
kme_frozen_2023,2023,region[08],0.4243114151674567,0.06568463850941944
kme_frozen_2023,2023,region[09],1.121912416696103,0.0669465556721399
kme_frozen_2023,2023,region[10],1.5064015004280742,0.07502999010403752
kme_frozen_2023,2023,region[11],0.14515790846357357,0.08362420100301243
kme_frozen_2023,2023,region[12],-1.56750719730145,0.156911511484648
kme_frozen_2024,2024,intercept,-1.2816594254370932,0.06274249169432367
kme_frozen_2024,2024,seasonal_sin_annual,0.5829936187088679,0.01949167021353289
kme_frozen_2024,2024,seasonal_cos_annual,-1.5559832442947445,0.024514158936488072
kme_frozen_2024,2024,region[02],-0.028400788829378278,0.07085588620920347
kme_frozen_2024,2024,region[03],1.5350746406022706,0.07046368129852311
kme_frozen_2024,2024,region[04],-0.02332178370110827,0.07328973900687302
kme_frozen_2024,2024,region[05],-0.44074370945019825,0.12316949079140715
kme_frozen_2024,2024,region[06],-1.495899425141973,0.1693412796317919
kme_frozen_2024,2024,region[07],0.3633423655583998,0.0756680310135067
kme_frozen_2024,2024,region[08],0.47173202065476194,0.0645146746818108
kme_frozen_2024,2024,region[09],1.1669736051606467,0.06570765732436946
kme_frozen_2024,2024,region[10],1.5242010149331657,0.0736734964167106
kme_frozen_2024,2024,region[11],0.16689111385264227,0.08195110900047466
kme_frozen_2024,2024,region[12],-1.6182353820375392,0.15655609678579613
kme_frozen_2025,2025,intercept,-1.2506162390115596,0.05989382604771984
kme_frozen_2025,2025,seasonal_sin_annual,0.5970979391969814,0.018441205567471808
kme_frozen_2025,2025,seasonal_cos_annual,-1.4631059131708528,0.022548503802042087
kme_frozen_2025,2025,region[02],-0.013276616431354934,0.06776408054647583
kme_frozen_2025,2025,region[03],1.4901001305476187,0.06794116676105641
kme_frozen_2025,2025,region[04],-0.0804841870734109,0.07087393894675552
kme_frozen_2025,2025,region[05],-0.357140042178392,0.11439893462139614
kme_frozen_2025,2025,region[06],-1.3995843577504685,0.15560112898154727
kme_frozen_2025,2025,region[07],0.30774314501616784,0.07322912920528461
kme_frozen_2025,2025,region[08],0.5015235699425145,0.06172345394914408
kme_frozen_2025,2025,region[09],1.1901724169609254,0.06286574460910943
kme_frozen_2025,2025,region[10],1.5205831347667556,0.07063061898130989
kme_frozen_2025,2025,region[11],0.23552670726020922,0.07734691361309776
kme_frozen_2025,2025,region[12],-1.7201268648855612,0.15560115146514203
