scenario_family,year,air_temperature_c_mean_climate,near_surface_specific_humidity_g_kg_climate,precipitation_sum_mm_proxy_climate,soil_moisture_upper_portion_kg_m2_climate,air_temperature_c_mean_climate_anomaly_vs_2016_2025,near_surface_specific_humidity_g_kg_climate_anomaly_vs_2016_2025,precipitation_sum_mm_proxy_climate_anomaly_vs_2016_2025,soil_moisture_upper_portion_kg_m2_climate_anomaly_vs_2016_2025,lyme_cases,kme_cases,tick_borne_cases_total,lyme_cases_per_100k,kme_cases_per_100k,tick_borne_cases_total_per_100k,lyme_cases_lag_1y,lyme_cases_lag_2y,lyme_cases_lag_3y,lyme_cases_rolling_3y_mean,kme_cases_lag_1y,kme_cases_lag_2y,kme_cases_lag_3y,kme_cases_rolling_3y_mean,tick_borne_cases_total_lag_1y,tick_borne_cases_total_lag_2y,tick_borne_cases_total_lag_3y,tick_borne_cases_total_rolling_3y_mean,lyme_cases_per_100k_lag_1y,lyme_cases_per_100k_lag_2y,lyme_cases_per_100k_lag_3y,lyme_cases_per_100k_rolling_3y_mean,kme_cases_per_100k_lag_1y,kme_cases_per_100k_lag_2y,kme_cases_per_100k_lag_3y,kme_cases_per_100k_rolling_3y_mean,tick_borne_cases_total_per_100k_lag_1y,tick_borne_cases_total_per_100k_lag_2y,tick_borne_cases_total_per_100k_lag_3y,tick_borne_cases_total_per_100k_rolling_3y_mean,table_role,target_available
medium_emissions,2016,9.792292630920809,6.169602354367574,1228.8744931221008,27.808130582173664,0.0554217458392169,-0.0340015292167663,12.201229238510225,0.034220886230468,4025.0,82.0,4107.0,6665.520506295102,135.79445503508035,6801.314961330182,,,,,,,,,,,,,,,,,,,,,,,,,scenario_calibration,True
medium_emissions,2017,9.646268397569656,6.192285219828288,1223.0243537425995,27.853039105733234,-0.0906024875119335,-0.011318663756052,6.35108985900888,0.0791294097900383,4537.0,102.0,4639.0,7502.82165437696,168.6770572507053,7671.498711627665,4025.0,,,,82.0,,,,4107.0,,,,6665.520506295102,,,,135.79445503508035,,,,6801.314961330182,,,,scenario_calibration,True
medium_emissions,2018,9.671008308728537,6.1674694418907166,1234.6524419784546,27.967873414357506,-0.0658625763530533,-0.0361344416936235,17.979178094863983,0.1939637184143059,7544.0,153.0,7697.0,12445.572814895637,252.4088866223532,12697.98170151799,4537.0,4025.0,,,102.0,82.0,,,4639.0,4107.0,,,7502.82165437696,6665.520506295102,,,168.6770572507053,135.79445503508035,,,7671.498711627665,6801.314961330182,,,scenario_calibration,True
medium_emissions,2019,9.723530821502209,6.224602460861206,1239.5991854667664,27.59228452046712,-0.0133400635793812,0.0209985772768659,22.92592158317575,-0.1816251754760749,3918.0,111.0,4029.0,6378.821000256395,180.71698086484423,6559.537981121239,7544.0,4537.0,4025.0,5368.666666666667,153.0,102.0,82.0,112.33333333333333,7697.0,4639.0,4107.0,5481.0,12445.572814895637,7502.82165437696,6665.520506295102,8871.304991855899,252.4088866223532,168.6770572507053,135.79445503508035,185.6267996360463,12697.98170151799,7671.498711627665,6801.314961330182,9056.931791491947,scenario_calibration,True
medium_emissions,2020,9.83105860153834,6.219549556573232,1221.723687171936,27.424718697865803,0.0941877164567497,0.0159456729888916,5.050423288345428,-0.3491909980773933,7497.0,187.0,7684.0,12089.509355429003,301.5523875503833,12391.061742979386,3918.0,7544.0,4537.0,5333.0,111.0,153.0,102.0,122.0,4029.0,7697.0,4639.0,5455.0,6378.821000256395,12445.572814895637,7502.82165437696,8775.738489842997,180.71698086484423,252.4088866223532,168.6770572507053,200.60097491263426,6559.537981121239,12697.98170151799,7671.498711627665,8976.339464755632,scenario_calibration,True
medium_emissions,2021,9.826134324073792,6.213519275188446,1225.7765018939972,27.499327341715496,0.0892634389922015,0.0099153916041059,9.103238010406583,-0.2745823542277001,2933.0,62.0,2995.0,4758.976392895206,100.59888726883833,4859.575280164045,7497.0,3918.0,7544.0,6319.666666666667,187.0,111.0,153.0,150.33333333333334,7684.0,4029.0,7697.0,6470.0,12089.509355429003,6378.821000256395,12445.572814895637,10304.634390193678,301.5523875503833,180.71698086484423,252.4088866223532,244.8927516791936,12391.061742979386,6559.537981121239,12697.98170151799,10549.527141872872,scenario_calibration,True
medium_emissions,2022,9.91022002696991,6.227266252040863,1235.292326211929,27.662075837453205,0.1733491418883197,0.0236623684565229,18.619062328338718,-0.1118338584899909,4008.0,126.0,4134.0,6546.207394766579,205.79394504505717,6752.001339811636,2933.0,7497.0,3918.0,4782.666666666667,62.0,187.0,111.0,120.0,2995.0,7684.0,4029.0,4902.666666666667,4758.976392895206,12089.509355429003,6378.821000256395,7742.435582860201,100.59888726883833,301.5523875503833,180.71698086484423,194.2894185613553,4859.575280164045,12391.061742979386,6559.537981121239,7936.725001421556,scenario_calibration,True
medium_emissions,2023,9.523376264298957,6.12922449906667,1214.4276790618896,28.14450979232788,-0.2134946207826349,-0.0743793845176696,-2.245584821700959,0.3706000963846847,2514.0,63.0,2577.0,4058.111824801481,101.69492639717312,4159.806751198653,4008.0,2933.0,7497.0,4812.666666666667,126.0,62.0,187.0,125.0,4134.0,2995.0,7684.0,4937.666666666667,6546.207394766579,4758.976392895206,12089.509355429003,7798.231047696929,205.79394504505717,100.59888726883833,301.5523875503833,202.6484066214263,6752.001339811636,4859.575280164045,12391.061742979386,8000.879454318355,scenario_calibration,True
medium_emissions,2024,9.441994555294514,6.14644596974055,1158.1653645038605,27.98858817418416,-0.2948763297870762,-0.0571579138437901,-58.50789937973013,0.2146784782409661,3168.0,91.0,3259.0,5082.948490830592,146.00641182625756,5228.95490265685,2514.0,4008.0,2933.0,3151.6666666666665,63.0,126.0,62.0,83.66666666666667,2577.0,4134.0,2995.0,3235.3333333333335,4058.111824801481,6546.207394766579,4758.976392895206,5121.0985374877555,101.69492639717312,205.79394504505717,100.59888726883833,136.02925290368955,4159.806751198653,6752.001339811636,4859.575280164045,5257.127790391444,scenario_calibration,True
medium_emissions,2025,10.002824919919172,6.346073806285858,1185.196605682373,27.79854949315389,0.2659540348375824,0.142469922701518,-31.47665820121756,0.0246397972106926,5001.0,80.0,5081.0,7939.903481400254,127.0130530917857,8066.91653449204,3168.0,2514.0,4008.0,3230.0,91.0,63.0,126.0,93.33333333333333,3259.0,2577.0,4134.0,3323.3333333333335,5082.948490830592,4058.111824801481,6546.207394766579,5229.089236799551,146.00641182625756,101.69492639717312,205.79394504505717,151.1650944228293,5228.95490265685,4159.806751198653,6752.001339811636,5380.25433122238,scenario_calibration,True
